Google.Date,Open,High,Low,Close,Volume
Google,15-May-14,525.70,525.87,517.42,519.98,1703758
Google,14-May-14,533.00,533.00,525.29,526.65,1191863
Google,13-May-14,530.89,536.07,529.51,533.09,1648907
Google,12-May-14,523.51,530.19,519.01,529.92,1908392
Google,9-May-14,510.75,519.90,504.20,518.73,2432783
Google,8-May-14,508.46,517.23,506.45,511.00,2016131
Google,7-May-14,515.79,516.68,503.30,509.96,3216077
Google,6-May-14,525.23,526.81,515.06,515.14,1684381
Google,5-May-14,524.82,528.90,521.32,527.81,1021408
Google,2-May-14,533.76,534.00,525.61,527.93,1685042
Google,1-May-14,527.11,532.93,523.88,531.35,1900432
Google,30-Apr-14,527.60,528.00,522.52,526.66,1746904
Google,29-Apr-14,516.90,529.46,516.32,527.70,2692489
Google,28-Apr-14,517.18,518.60,502.80,517.15,3326429
Google,25-Apr-14,522.51,524.70,515.42,516.18,2097264
Google,24-Apr-14,530.07,531.65,522.12,525.16,1881965
Google,23-Apr-14,533.79,533.87,526.25,526.94,2051066
Google,22-Apr-14,528.64,537.23,527.51,534.81,2359421
Google,21-Apr-14,536.10,536.70,525.60,528.62,2561214
Google,17-Apr-14,548.81,549.50,531.15,536.10,6795393
Google,16-Apr-14,543.00,557.00,540.00,556.54,4879889
Google,15-Apr-14,536.82,538.45,518.46,536.44,3847453
Google,14-Apr-14,538.25,544.10,529.56,532.52,2568020
Google,11-Apr-14,532.55,540.00,526.53,530.60,3916171
Google,10-Apr-14,565.00,565.00,539.90,540.95,4027743
Google,9-Apr-14,559.62,565.37,552.95,564.14,3324742
Google,8-Apr-14,542.60,555.00,541.61,554.90,3152406
Google,7-Apr-14,540.74,548.48,527.15,538.15,4389569
Google,4-Apr-14,574.65,577.77,543.00,543.14,6377658
Google,3-Apr-14,569.85,587.28,564.13,569.74,5087530
Google,2-Apr-14,282.43,571.83,561.44,566.98,2088804
Google,1-Apr-14,559.57,568.18,558.44,566.88,2182626
Google,31-Mar-14,564.63,566.93,555.87,556.70,1942277
Google,28-Mar-14,558.94,566.03,558.33,559.51,2258918
Google,27-Mar-14,564.86,565.40,550.50,556.58,3826676
Google,26-Mar-14,580.42,585.20,565.18,565.42,-
Google,25-Mar-14,582.42,584.34,572.93,578.78,-
Google,24-Mar-14,591.50,591.86,572.40,578.39,-
Google,21-Mar-14,602.55,604.21,590.63,590.93,-
Google,20-Mar-14,599.38,604.20,597.08,597.98,-
Google,19-Mar-14,605.29,605.39,596.61,599.03,-
Google,18-Mar-14,596.74,605.16,595.93,605.02,-
Google,17-Mar-14,589.04,597.94,588.47,595.45,-
Google,14-Mar-14,590.40,594.84,585.68,585.81,-
Google,13-Mar-14,603.37,604.64,591.79,593.94,-
Google,12-Mar-14,597.60,603.32,591.50,603.05,-
Google,11-Mar-14,606.28,606.55,597.72,599.40,-
Google,10-Mar-14,607.24,608.21,601.44,605.18,-
Google,7-Mar-14,612.79,612.88,605.11,606.79,-
Google,6-Mar-14,610.53,612.46,608.69,609.20,-
Google,5-Mar-14,606.92,610.93,605.10,608.52,-
Google,4-Mar-14,606.89,607.39,604.15,606.85,-
Google,3-Mar-14,602.77,603.32,595.47,600.74,-
Google,28-Feb-14,609.56,611.48,602.51,607.22,-
Google,27-Feb-14,608.59,611.50,607.90,609.00,-
Google,26-Feb-14,611.39,613.83,606.27,609.47,-
Google,25-Feb-14,607.36,611.64,604.61,609.39,-
Google,24-Feb-14,602.08,609.47,601.95,605.65,-
Google,21-Feb-14,603.30,604.33,600.82,601.29,-
Google,20-Feb-14,600.97,602.84,599.51,601.45,-
Google,19-Feb-14,602.05,604.00,598.15,600.57,-
Google,18-Feb-14,600.10,605.83,599.40,604.83,-
Google,14-Feb-14,597.21,601.59,595.80,600.80,-
Google,13-Feb-14,589.78,599.35,589.24,599.35,-
Google,12-Feb-14,593.91,594.40,590.10,592.75,-
Google,11-Feb-14,589.49,595.34,585.52,594.49,-
Google,10-Feb-14,585.31,590.61,583.93,585.88,-
Google,7-Feb-14,583.23,588.36,579.70,588.13,-
Google,6-Feb-14,574.99,579.50,573.20,579.40,-
Google,5-Feb-14,571.12,574.81,563.45,571.03,-
Google,4-Feb-14,568.43,576.92,567.94,568.51,-
Google,3-Feb-14,589.01,590.27,565.44,566.15,-
Google,
